sentences,values
temu orang orang manusia asing kenal orang ganti posisi hindar jaga hati,0
kuliah maroko bilang anies super gubernur jaga enak bilang layak presiden,0
gda kontol bunda paaki timun,1
kau tolak kader pks ya kawan bacot lu nyinyir pelan kawan rusak hati rusak harap ntr tunggu lu boleh patah hati massal bareng cebong kolam,1
bajing rampok rakyat hakim,1
eh kiapa so incar milea bajing,1
pki biadab agama candu masyarakat agama lawan feodalisme kapitalisme agama bajing rendah anggap orang agama jadi ala,1
bahasa cina pon letak kandung teks bahasa melayu google terjemahan terjemahan,0
tuju islam nusantara indonesia agama kristen protestan nusantara katolik nusantara budha nusantara hindu nusantara agama nusantara biar seragam nkri,0
liat tas istri jokowi kampung,1
ateis goblok cuman republik indonesia ciri khas kali,1
kenal glam jing homme tai agensi anjlok bacot kaca,1
ambil tete lu ambil gua mas nete sapi,1
kirim foto kontol sange obrolan dewasa,1
ilmu ilmu iring takut allah syaikh ibn atha illah kitab hikam ilmu milik allah pasti manfaat bajar disiplin ilmu adab insyaallah berkat terutama,0
silah laku silah baru menghampaskan bokong sofa hadap sang wira posisi senyama,0
berisik jablay nya mantap,1
sekolah mayoritas tionghoa beda tahu pribumi nya kepseknya pribumi,0
jahat tobat coba kena ancam foto nudes bilang ayam kampus bangsat kalo gue ayam kampus gue kaya raya ih goblok,1
lu bank dunia otak onta sih lu dongok malas bego tolol ya onta,1
edan mengerti id card barang leh kasih saut,1
urutan peristiwa danilla asu,1
emang tim pake usaha produce orang titik tinggi sana tim emang tampil lancar cacat liat darimanapun tim bagus pantas kawan,0
bacot lu orang kota miskin,1
budaya demokrasi amerika serikat maju indonesia rakyat beda privat publik faham guna pesawat presiden lekat lembaga presiden selamat aman presiden,0
kwkwkwkkw tai nikah antem,1
makas cuitan saran pake wadah ngocok matcha instead matcha shaker whisk coba mbledos dikit campur air panas,0
ingin duduk kontol kayak nusuk perut kuda duduk bokep gratis memek ngentot http,1
cewek lelaki brengsek kawan kalo lo brengsek bangga arti lo laki,1
israel undang yahudi dunia tinggal israel warga israel turun tua negara arab,0
gua sipit sipit mata barangkali warna beda,0
loh sebut jokowi antek asing,0
otak cebong susah emang baliho jokowi mana kampanye sembako pake apbn waras,1
baris anti antek aseng koar nyata aksi bicara kuat,0
efek uu md komen suka hati,0
brisek lu makan autis ntr,1
pengikut mli kaya tai nih gilir cuitan lucu bilang gue ngadmin gilir cuitan lucu bilang twee,1
muka kayak pasar murah,1
nurani anjing banyak makan anjing babi tingkat laku bedah bangsat,0
dungu rezim dungu klop,1
jane hormat hilang hormat,0
gue doa budek lu,1
jenis kelamin bayi buaya gantung suhu telur suhu dingin jantan betina suhu panas,0
muka agama yahudi sembari,0
anjing tolol lu goblok,1
banding beli pergi ongkir pakai kaki jalan menit kampus makan cari makan harga lumayan ribu telur dadar ayam kare sayur tumis kacang mamen lumayan,0
biar orang idiot rusak moodmu,1
lihat beda paham islam gus mus ba asyir quran,0
cermin main elok posing cuba gambar nohhai cacat,1
kaya akun kontol ah ngrusuhin akun cuit bokep kontol cari pake keywords selfi ah,1
dasar analisis sumber tribun tempo jurnal ui langgan utama ayam kampus kaya miskin,0
kecebong pki anti islam diktator jokowi,1
ktp katolik pergi gereja tata agama ktp masjid wihara bahasa sansekerta vihara kunjung sana lantun doa,0
afgan sukses takluk bandung sides indonesia tur lewat,0
kalo cacat otak pelihara,1
indosat maling pulsa brengsek sial pulsa gua rbu peepanjang paket ribu pulsa gua ilang ribu brngsekkkk bangkrut kek,1
turut pintu sorga pintu sorga asli pintu hati modus,0
agama kristen ajar hakim silah boleh agama sobat,0
replyan gue balas dasar onta cebong,1
ayo evolusi mutasi genetik cebong,1
sunat tuh titit kalah anjing ahok,1
cakada kena ott kpu jatim pilkada lancar,0
video lengkap erti fiksi tonton utuh tambah wawas makan spin gelintir netizen potong video sesat maksud bentur rocky gerung kaum agama,0
baris gus sholah pulau madura rapat menang pasang calon gubernur khofifah indar parawansa emil elistianto dardak,0
pikir malam beku udara lembut lumut dada telaga bisu butir batu lempar hening jerit,0
alas dorong mahasiswi ayam kampus detail,0
mendagri puji prestasi gubernur buat mang pasti,0
kleb aseng kena blokir,0
rev pilih ulama kafir munafik,1
ya pokok lu sinting,1
kawan suka kawan cakap muka kawan puas hati perangai bodo so hidup bahagia muka seri seri duit pokok subur cemar kesan rumah hijau,1
ahok penjara kutip kalimat kitab fiksi aneh bela agama ahli surga serentak bela si dungu kitab suci fiksi,1
ekspor indonesia tajam maret banding februari surplus dagang miliar dollar mudah tanda bangkit ekonomi indonesia,0
sewa jablay kayak tuh,1
tuju bosan muak laku cebong nyinyir banget,1
cebong kasih fakta bilang dusta cebong kasih dusta bilang realita cebong emang bikin gemes,1
mbak cadel bangga cadel sih kasihan cadel jijik bisu,1
semut kaiju nakal tanah gelap semut kaiju nakal tanah takut setan,0
bicara gitu gandeng bank asing langkah hukum gugat atur istimewa freeport,0
alangkah rugi nista abadi manusia cipta sari pati tanah kembali neraka nkri butuh koboi holistik iman,1
ahok sosok komplit hati busuk ucap jijik buat kalah brengsek nista,1
cerita cowok tinggal china cerita pesan,0
wajib kali musnah buzzer goblok antek pki rangkap jablai kaya sampah doang bikin bau busuk sebar mana,1
wonu oppa mata sipit banget,0
babyyy bukti hyung besarr titit nya,1
sambung asu nih bocah,1
jujur suka meldi suka hujat orang,0
gua lupa pas baca unm asing,0
situs genosida jejak senyap keras politik budaya banyuwangi,0
festival pesona tambora angkat eksotisme alam budaya dompu bima,0
bodo sampah baca rumours pasal transfer window cakap senang player star striker kuat mid kuat def kuat buru manchester klub boleh pergi main menyu nak kumpul semua star klub sekian kepala bana,0
aset jual kek harga kek kerja tka kek bodo gaji bulan terima,0
bebas dapat main sambar cuit gitu sampah tahan sayang dosa loncengbuatsambarcuitanorang,0
kawan gubernur wagub datang opa wenger latih paska beliau arsenal,0
psk artis daring marak bicara tyas mir asih ingat netizen netizen tyas mir asih,0
ya bajing terima kasih,1
pribumi iseng aparat garang puluhan cina ras aparat alay jongos,1
sukmawati bilang suara adzan merdu kuping tuli budek,1
fakta libat laskar hitam masuk selenggara sunat paksa lelaki tionghoa masuk selapajang,0
bangsat homo kira komen cewe cowo anjeng cewe respon asu,1
hidup bos playboy anjing,1
iseng bahaya iseng teriak bom bandara rj ancam hukum,0
rezim jokowi freport tekuk lutut jokowi periode forjkw,0
alhamdulillah moga zakir lanjut usia allah mudah dakwah negara umat hindu takut takut makna ragu percaya bayang,0
ingin masuk kabinet kerja eps hitung utang dekat triliun harus anggota dpr jalan negri biaya parpol cabut ide brilian,0
idealis pandai simpan rahasia sombong,0
profil sdn tikep sdn tikep smpn tikep sman tikep antropologi fakultas ilmu budaya universitas halu oleo kota kendari,0
semiotika budaya populer budaya barat estetika bahas era yunani romawi kuno ya allah pusing,0
fakultas ekonomi universitas trisakti kiai tapa rw tomang grogol tambur kota jakarta barat daerah khusus ibukota jakarta,0
sindir bani kampret bom,1
kira prabowo lucu ngelawak lwat novel fiksi ghost fleet lucu zul palimg bego,1
acara tv teman malam minggu,0
moga lancar usaha mel,0
sebab macet divestasi saham freeport salah satu terbit atur perintah nomor usaha tanam modal asing wajib divestasi saham indonesia freeport,0
bisa om meteka gonggong bicara gaya anjing peking,1
akun kecebong banyak kelola etnis gaya kecut cebong jakarta dendam anies sandi,1
aduh adi smp curut bongsay mas goreng hoax basiiii iiih dungu,1
kemon bahasa budaya muahaha,0
bersih bangsat tisu bekas lap silit ribet sih,1
moga istiqomah nikitamirzani orang soleh malam kafir pagi begitupin istiqomah juang hidayah allah rahasia makhluk hak dapat,0
ancam bunuh ancam sangka ancam guling kawan partai ancam bakar ibukota kader utama partai pilkada kalah untun secara kejut intervensi china kuasa negeri kawan,0
kampung nagita slavina reaksi ayu ting ting artis peran nagita slavina terang sebut aksi goyang dangdut ayu ting ting kampung nagitaslavina ayutingting raffiahmad kampung,1
aww baik untung suka pusing bahas budaya populer,0
jatim anti hoax pilkada damai deklarasi anti hoax warga kebraon,0
lh kawan turun turun ideologi pki lekat jiwa mereka,0
menteri jokowi non partisan harga dunia smi sus kawan pupr menteri parpol duduk manis presiden jokowi menteri gentar dunia,0
sinting gua asli anak winner twitter,1
monggo lurd jadwal acara upacara adat kirab budaya mbah bergas,0
liat ragu liat cantik,0
mulia tokoh kenal anti aseng bersih sederhana asli sabda lugas terusan,0
gue efek nya jijik lihat cewek murah suka tawar tawar teman nya lelaki hidung zebra,0
lo tuh babi anjing mampus kalah jatuh miskin deh bekasisah,1
tgb promosi pariwisata halal dunia sembunyi tgb tuang guru bajang,0
teman maju caleg dpr ri dapil kota bekas depok psi ayo sus semangat juang nasib rakyat lebih sejahtera adil didik rata negara lebih humanis toleran bhineka,0
sangking bosan main gambling pikir main main apokalips tremor tangan rel kereta bidik burik statistik karakter burik tembak meleset,0
nama anak buah iblis muslim taat musuh muslim bermaksiyat puji puji bela negeri benci jilat asing hormat,1
orang lupa bayar karyawan nya bacot,1
satpol pp satlinmas tingkat kesiapsiagaan libat dukung lancar laksana pilkada,0
status kafir relatif gantung tinjau sudut santai,0
terus sekolah jumat jumat foto kelas gitu iya sekolah buku tahun gembel dah foto kelas tema bebas,1
tampang sederhana boneka kunyuk,1
artis remaja indonesia manis kalo senyum deh tempel hati,0
kontaminasi murid kasih kaca gerung kawan nalar dungu jokowi bicara emas mahal kalajengkin,1
cinta sapa buta hati tuli telinga logika jaga luka,0
masyaallah pesona kaum adam kaum hawa,0
bulgaria kamis kpl ekr makau shio monyet,0
pola pikir manusia brengsek dungu rugi orang,1
iya gegara bupati samosir bilang kalo jokowi presiden samosir pembenci rame ban bilang hoaks poto sukarno tepi danau toba tau danau toba keliling kabupaten pembenci orang sumut,0
kecoak bicara juntrung ya tinggal mutu bicara orang dungu kayak ente,1
mbok kalo tau bego bego orang gitu loh tanya ahli,1
loh bukti omong lo mkanya tolol asbun gliran cecar ngincir lo lapet,1
tuju hati logika hati tenang logika hati sedih ku cari wasiat beliau tinggal asing asing mata manusia duhai,0
terima kasih kak nagita dukung molly si gajah satwa satwa bal zoo kunjung keluarga,0
praktisi spiritual rujuk kitab hyang widhi sebut tuhan maha esa agama hindu gusti allah sembah leluhur bangsa jin tinggal awang awang,0
orang indonesia dongo nya liat banget jalan kasih jalan madam bakar gitu manfaat ambil jalur belakang madam asli goblok,1
gua heran warga dki pilkada ribut mayat gubernur ribut mayat salah allah tentu takdir tolol ulang,1
barusan ulama jabar dukung,0
dasar goblok tolol nkri pimpin manusia turun onta cari pimpin wni asli pintar bobot turun onta otak isis,1
maklum anak didik kayak gitu akhlak,1
kpk anggota dprd sumut kembali uang warta ekonomi,0
kampanye ras katakan nya ahok untung goblok kafir untung perkosa bunuh lu enak duit,1
tgb zainul majdi presiden baru,0
inggris widjanarko abdi hidup seni budaya sosial,0
main cacat masuk teco tolol,1
sorre gengss warga badui selesai ingat tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim sabtu,0
see cantik semu mba gigi sehat adik bayi nya,0
lampu tembak sorot voxx led mini mata tahan air lumens kuat,0
gubernur jatim baik jembatan widang selesai lebaran,0
lebih orang tau tun chedet belok tau nak,0
logis ya pesan ahoker move on emang warga dki bego,1
pagi jay bangsat lupa sarap monyet,1
allah tempat nama tradisi yahudi eliyakim elhanan elkana yehoshua yehonatan yehoyada,0
tulisan salin tempel cantumin credit dasar iblis,1
bangga pas labrak natrep pamer geblek,1
serang ahok kafir galak,1
alam urus surat administrasi nikah pasang beda agama kristen katolik bagi,0
sumpah pas itu tenggek counter pickup makan nak sial kau masuk kitchen tengok dorg makan kau bodo,1
tanda nya bumn energi sandera akibat modal divestasi bank asing mikir pikir us mudah beri us mereka bagi serius,0
zaman orang aman orang buta huruf budek ndeso sing eruh,0
brengsek anjirittt siaaaaallllllll benciiiiiiiiiiiiiiiiiiiii jahaaaaaaaaaaatttttttt,1
ancam kaya banci jancok,1
asli bego kelar nih partai kualitas kayak partai allah bego bani micin setia dukung bos capres bodoh,1
deh titit sen mual,1
anjink jelek banged gua bangsat gua jelek ih jelek ateis goblok habis pikir,1
pindah tangan asing asing indonesia tonton,0
presiden tahun korban phk freeport jelas butuh perhati korban phk sepihak freeport,0
hatta faisal tehrani yahudi salah santun selagi hormat sudut hamba allah,0
tuh profesor kristen katolik nusantara,0
profil sih umur mampu berfikir otak anak sd percaya tulis blogger tua kacrut,1
azu mantap soh orang kek nih bani micin,1
dukung maling sial jancok pki,1
biaya pilkada langsung mahal zulkifli dprd,0
detik jelang dalang malam suntuk halaman kemendagri april malam,0
allah swt sembah muslim setan halal rampas ajar tunduk patuh kobar cocok penis,1
deklarasi anti hoax dukung pilkada damai,0
maaf liat mc nya kek bopung gitu anjing,1
liat tukang pijat nya bf seperti doyan kontol seperti,1
jongos nista agama ahok sok sok ngong sara majikan nya tebar sara astagfirllah tobat,1
bukti on bukti congor doang,1
bas teknologi digital presiden sistem jalan langsung ramah guna ratas,0
anak dki jakarta banget foto wakil gubernur dki jakarta,0
emang sampah hina banget sampah orang,1
terusan kaum bumi datar sumbu pendek cebong cebong kampret teman teman,1
islami bangun narasi dapat beda liberal sekuler munafik antek asing,0
teori tiori bani cumi mangap masuk racun ya,1
duh sableng sarkasme bani onta cuci otak pake fasilitas kasih perintah nyinyir kasih mudah nyinyir ganti presiden capres,1
jancok kutuk umpat gue stecu,1
sedulur ngaji bondowoso mengaji pahala hadiah guru ulama nu keluarga,0
gronbrekeng gunting pita manajemen proyek tahap nya lewat ahli cebong tukang tipu cebong mah gitu goblok tulung plonga plongo akibat optimisme plo,1
lengser jokowi biar goblok,1
untung kerja kontrak penulis japri,0
selamat pagi politisasi puisi timpa calon gubernur jawa ganjar pranowo informasi hoaks arus utama informasi terima masyarakat pilkada,0
alah bangkai kau sendiri padan muka kau jauh,1
sange enak maininnya cewe jijik jijik cipok enak grepe,0
isis klaim jadi mako brimob gera napiternya bawah aman jadi mako bom sby kait,0
dah ya gue jelasin kalo kasih dare ganti profil gambar banci ya lu dah ts banci nya,1
suyanto mitra kur bank artha graha internasional optimis program  daya padi hitam padi putih potensi panen varietas capai ton gabah kering program  lestari tradisi masyarakat tani jawa,0
solusi mulia kaban tokoh bersih anti aseng mohon kasih tausiyah,0
presiden ajak ulama perintah sejuk suasana jelang pilkada serentak,0
mas tolong sebut kitab suci agama fiksi,0
bukti sekian presiden antek aseng asing,0
ayo anak gangster jabodetabek anak anak kampung pesta dpr,0
akun siti fatimah komen laman diringkes parah bejat malu moga sehat sabar semangat suara benar,1
bangkit ekonomi umat fiksi realita fakta tumbuh ekonomi nusa tenggara barat ntb minus amanah wenang gubernur manfaat revolusi daerah gantung eksploitasi sda,0
bebas suara media asas perkara iaiu ras tanggungjawab benar ikut tafsir citra budaya tempat acu barat najib,0
beda kristen agama percaya yesus juruslamat tuhan mk terima roh kudus tolong hibur kuat qt,0
nu gabung nasakom negara asai komunis gagal kuasa nkri lawan tentang nahdatul ulama paham daki dajjal,0
ajar sikap bodo laku pada,1
sayang industri oli gas banyak warga asing anak melayu,0
bandara sotta masuk bandara sibuk dunia artis mobilitas duduk gairah tumbuh ekonomi,0
victor koar kbakaran jenggot viktor ulang kali koar masjid jalan si banci guru viktor japri mesum bkin rusuh dunia dasar munafik,1
emang erica sih mbak wc loh panda tes dna anak tau anak lihat tuh cewek hts doang cap celup sasimo gaul bebas,1
agama ktp tulis agama islam hindu percaya nusantara kristen,0
nya cantik banget masyarakat allah,0
sodakoh ngarap imbal wakakkakkak otak ganti presiden emang somplak,1
solusi dana haji ambil infrastruktur duit bpjs buruh ambil rakyat peres solusi goblok lo emang jilat tolol,1
inget facebook anjir lupa,1
bahaya kata adik armando pengaruh muslim awam cuci otak ustadz syaitu mirip nama jil perang pikir bahaya banding perang fisik kalah perang fisik kta syahid kalo kalah,0
lontong pagi kek asik ya,0
swasta katolik yoi tk sma swasta katolik ketemu teman mikir yaudahlah situ,0
ngalahi tank jebule fighter assasin edan rak waras,1
bengkal tuan rumah pios mahasiswa kampus islam riau kepri,0
ulang tahun mbak mel cantik panjang umur sehat,0
preman kampung monyong putih kasih panggung rusak acara enek liat,1
bopung kasih main twitter,1
umat hindu selamat ulang presiden soeharto,0
anjir pikir ngocok ya,1
rasulullah saw anjur muslim dagang republika daring,0
gua kaya iya deh buka kacamata teman gua katakan sipit banget beda pake kacamata,0
asing temu kali minggu lift gadis salah siswa prestasi terima beasiswa keith tunggu gadis angkat wajah,0
spngetahuan sih anjing drmh malaikat masuk,0
penggal video goreng angin orang dungu nekat goreng angin,1
orang goblok piara sih anjeng,1
gunung pelangi rainbow mountain warna mmbntuk bukit indah indonesia suku agama etnik bentuk indonesia beda saji indah harmoni bangsa nkri bangga,0
bajing luka nyonya terima ganjar ratus kali lipat sanji,1
